Field_Number	Sample_Collector	Country	State	Near_Town	Lat	Long	Stage	Month	Day	Year	Pop
02N8790	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUN	16	2002	13
02N8792	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUN	13	2002	13
02N8801	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUL	11	2002	13
02N8803	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUL	7	2002	13
02N8805	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUL	14	2002	13
02N8807	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUL	18	2002	13
02N8811	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUL	21	2002	13
02N8816	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUL	25	2002	13
02N8827	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUN	30	2002	13
02N8829	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUL	2	2002	13
08N23341	Brenda Keith	USA	MI	Vicksburg	42.17	-85.52	Breeding	JUN	3	2008	13
06N12741	 Julie Craves	USA	MI	Dearborn	42.32	-83.24	Breeding	MAY	25	2006	14
98N3510		USA	MI	DEARBORN	42.32	-83.24	Breeding	JUN	1	1998	14
98N3512		USA	MI	DEARBORN	42.32	-83.24	Breeding	MAY	22	1998	14
98N3513		USA	MI	DEARBORN	42.32	-83.24	Breeding	MAY	22	1998	14
98N3514		USA	MI	DEARBORN	42.32	-83.24	Breeding	MAY	21	1998	14
98N3517		USA	MI	DEARBORN	42.32	-83.24	Breeding	JUL	10	1998	14
98N3518		USA	MI	DEARBORN	42.32	-83.24	Breeding	JUL	24	1998	14
98N3519		USA	MI	DEARBORN	42.32	-83.24	Breeding	JUL	24	1998	14
98N3520		USA	MI	DEARBORN	42.32	-83.24	Breeding	JUL	24	1998	14
98N3521		USA	MI	DEARBORN	42.32	-83.24	Breeding	JUL	27	1998	14
05N8693	ROBERT I. FREY- KLAMATH BIRD OBSERVATORY	USA	OR	Klamath	42.5	-122.08	Breeding	JUL	20	2005	15
06N0762	ROBERT I. FREY	USA	OR	Klamath	42.66	-121.85	Breeding	JUL	10	2006	15
06N0826	ROBERT I. FREY	USA	OR	Klamath	42.66	-121.85	Breeding	MAY	12	2006	15
