03N0798	0.011	0.691	0.222	0.075	
03N6168	0.005	0.951	0.041	0.003	
03N6169	0.055	0.006	0.936	0.003	
03N6176	0.019	0.013	0.945	0.022	
03N6177	0.053	0.009	0.934	0.003	
03N6178	0.002	0.925	0.070	0.003	
97N6797	0.092	0.019	0.882	0.007	
97N6798	0.006	0.064	0.929	0.001	
97N6799	0.004	0.237	0.745	0.015	
97N6800	0.004	0.153	0.795	0.048	
97N6801	0.006	0.974	0.018	0.003	
97N5259	0.002	0.003	0.002	0.992	
97N5262	0.015	0.045	0.023	0.917	
97N5267	0.002	0.003	0.002	0.992	
97N5268	0.003	0.002	0.002	0.993	
97N5269	0.002	0.003	0.003	0.992	
99N0688	0.003	0.002	0.001	0.994	
00N5322	0.002	0.002	0.001	0.995	
99N1162	0.002	0.002	0.002	0.994	
06N4619	0.003	0.002	0.001	0.994	
06N4628	0.002	0.002	0.001	0.995	
06N4633	0.024	0.009	0.008	0.959	
06N4634	0.003	0.001	0.001	0.994	
06N4635	0.006	0.013	0.007	0.975	
99N1157	0.004	0.002	0.001	0.993	
99N1159	0.001	0.001	0.001	0.996	
99N1160	0.003	0.002	0.001	0.994	
99N1161	0.004	0.008	0.007	0.981	
14N0241	0.003	0.011	0.011	0.975	
14N0242	0.001	0.002	0.001	0.996	
14N0282	0.010	0.013	0.009	0.967	
14N0283	0.005	0.018	0.027	0.949	
14N0284	0.003	0.009	0.004	0.984	
14N0285	0.003	0.007	0.003	0.988	
14N0286	0.003	0.002	0.002	0.993	
15N0132	0.002	0.005	0.003	0.990	
15N0192	0.004	0.007	0.004	0.986	
08N1182	0.004	0.225	0.768	0.003	
7039	0.003	0.001	0.001	0.996	
02N8790	0.002	0.082	0.020	0.896	
02N8792	0.002	0.007	0.004	0.987	
02N8801	0.005	0.013	0.004	0.978	
02N8803	0.008	0.003	0.002	0.987	
02N8805	0.003	0.006	0.205	0.786	
02N8807	0.009	0.004	0.002	0.985	
02N8811	0.004	0.004	0.002	0.990	
02N8816	0.008	0.063	0.016	0.913	
02N8827	0.002	0.002	0.002	0.994	
02N8829	0.004	0.007	0.005	0.984	
08N23341	0.005	0.024	0.016	0.955	
05N8693	0.006	0.007	0.985	0.002	
06N0762	0.004	0.127	0.857	0.013	
06N1404	0.003	0.061	0.933	0.003	
06N1475	0.014	0.150	0.811	0.025	
07N1314	0.005	0.006	0.987	0.002	
08N1304	0.043	0.009	0.945	0.003	
08N1379	0.001	0.019	0.978	0.002	
08N1663	0.002	0.005	0.991	0.001	
08N1665	0.019	0.022	0.955	0.004	
00N5479	0.003	0.001	0.001	0.995	
00N5480	0.007	0.006	0.005	0.983	
00N5481	0.002	0.001	0.001	0.996	
00N5482	0.002	0.001	0.001	0.996	
00N5483	0.001	0.001	0.001	0.996	
00N5484	0.002	0.001	0.001	0.996	
00N5485	0.008	0.007	0.184	0.801	
00N5486	0.002	0.002	0.001	0.995	
08N22058	0.010	0.002	0.001	0.986	
10N16953	0.007	0.001	0.001	0.990	
10N16968	0.001	0.001	0.001	0.996	
96N0277	0.004	0.231	0.761	0.004	
96N0278	0.002	0.007	0.989	0.002	
96N0279	0.029	0.195	0.674	0.102	
96N0280	0.002	0.701	0.295	0.003	
96N0281	0.068	0.115	0.812	0.005	
96N0282	0.003	0.976	0.019	0.002	
96N0283	0.083	0.006	0.904	0.007	
96N0284	0.037	0.704	0.232	0.026	
96N0285	0.031	0.819	0.145	0.006	
96N0291	0.002	0.007	0.990	0.001	
96N0299	0.004	0.969	0.024	0.002	
96N0300	0.011	0.790	0.196	0.003	
01N4476	0.027	0.081	0.026	0.865	
01N4477	0.005	0.394	0.034	0.567	
02N1415	0.017	0.156	0.039	0.789	
02N1416	0.003	0.057	0.014	0.925	
02N1417	0.016	0.109	0.025	0.851	
02N1418	0.011	0.046	0.041	0.903	
02N1419	0.002	0.089	0.022	0.887	
02N1420	0.997	0.001	0.001	0.001	
02N1421	0.014	0.065	0.236	0.685	
02N1422	0.328	0.018	0.012	0.642	
97N6629	0.008	0.080	0.036	0.876	
97N6628	0.004	0.004	0.003	0.989	
06N35383	0.008	0.942	0.048	0.002	
09N17890	0.001	0.011	0.987	0.001	
09N18315	0.001	0.014	0.982	0.002	
10N16477	0.001	0.006	0.991	0.001	
10N16478	0.002	0.012	0.985	0.001	
02N1139	0.002	0.020	0.974	0.003	
02N1140	0.002	0.015	0.980	0.003	
03N4284	0.005	0.016	0.977	0.003	
03N6131	0.003	0.008	0.983	0.005	
03N6132	0.003	0.904	0.091	0.001	
04N7586	0.013	0.006	0.979	0.001	
04N7587	0.002	0.016	0.982	0.001	
04N7588	0.002	0.013	0.984	0.001	
05N5632	0.002	0.028	0.961	0.009	
09N17508	0.001	0.009	0.989	0.001	
97N6283	0.005	0.932	0.061	0.002	
97N6284	0.002	0.970	0.028	0.001	
07N28554	0.003	0.013	0.005	0.979	
07N28571	0.091	0.039	0.036	0.835	
07N28591	0.003	0.241	0.029	0.727	
07N28640	0.006	0.306	0.016	0.672	
07N28922	0.024	0.019	0.146	0.811	
08N21408	0.006	0.130	0.014	0.849	
08N21409	0.006	0.164	0.026	0.804	
08N21430	0.036	0.055	0.239	0.670	
08N21435	0.003	0.528	0.020	0.449	
08N21446	0.003	0.013	0.004	0.980	
08N21938	0.065	0.022	0.272	0.640	
7040	0.007	0.004	0.003	0.987	
98N3510	0.002	0.153	0.016	0.829	
98N3517	0.003	0.010	0.004	0.983	
98N3518	0.050	0.050	0.018	0.882	
98N3519	0.004	0.006	0.003	0.986	
98N3520	0.008	0.046	0.009	0.936	
98N3521	0.004	0.068	0.012	0.916	
00N5114	0.003	0.420	0.243	0.333	
00N5115	0.098	0.034	0.768	0.099	
00N5116	0.011	0.956	0.011	0.022	
3101	0.001	0.020	0.977	0.002	
3102	0.021	0.965	0.005	0.009	
3103	0.005	0.929	0.050	0.016	
3104	0.012	0.009	0.975	0.004	
3105	0.010	0.967	0.021	0.003	
3106	0.003	0.976	0.015	0.006	
3107	0.007	0.017	0.971	0.005	
3108	0.004	0.006	0.985	0.005	
3109	0.013	0.837	0.020	0.131	
7037	0.008	0.001	0.001	0.990	
7042	0.005	0.001	0.001	0.993	
7043	0.005	0.001	0.001	0.993	
7044	0.002	0.001	0.001	0.997	
