03N0782	0.059	0.005	0.913	0.018	0.005	
03N0798	0.027	0.008	0.673	0.232	0.060	
03N6168	0.006	0.007	0.676	0.013	0.298	
03N6169	0.004	0.085	0.905	0.003	0.003	
03N6176	0.028	0.028	0.909	0.024	0.011	
03N6177	0.003	0.075	0.913	0.005	0.003	
03N6178	0.005	0.003	0.715	0.017	0.260	
97N6797	0.007	0.100	0.877	0.011	0.006	
97N6798	0.001	0.008	0.973	0.002	0.016	
97N6799	0.010	0.006	0.935	0.025	0.024	
97N6800	0.044	0.006	0.910	0.026	0.015	
97N6801	0.004	0.007	0.635	0.011	0.342	
97N5259	0.935	0.003	0.004	0.043	0.015	
97N5262	0.854	0.016	0.025	0.013	0.091	
97N5267	0.795	0.003	0.004	0.182	0.016	
97N5268	0.936	0.006	0.003	0.042	0.013	
97N5269	0.980	0.002	0.004	0.009	0.004	
99N0688	0.972	0.004	0.003	0.016	0.005	
00N5322	0.927	0.003	0.002	0.063	0.005	
99N1162	0.979	0.003	0.003	0.010	0.006	
06N4619	0.970	0.004	0.002	0.018	0.006	
06N4628	0.975	0.002	0.002	0.018	0.003	
06N4633	0.922	0.029	0.011	0.030	0.008	
06N4634	0.978	0.003	0.002	0.013	0.004	
06N4635	0.694	0.007	0.006	0.228	0.065	
99N1157	0.970	0.006	0.002	0.019	0.003	
99N1159	0.983	0.002	0.002	0.011	0.002	
99N1160	0.957	0.004	0.002	0.034	0.003	
99N1161	0.942	0.004	0.014	0.023	0.017	
14N0241	0.815	0.004	0.029	0.144	0.008	
14N0242	0.978	0.002	0.002	0.015	0.003	
14N0282	0.870	0.014	0.019	0.079	0.019	
14N0283	0.837	0.006	0.052	0.096	0.008	
14N0284	0.222	0.005	0.003	0.758	0.013	
14N0285	0.847	0.004	0.004	0.106	0.038	
14N0286	0.899	0.004	0.003	0.086	0.010	
15N0132	0.920	0.003	0.006	0.052	0.020	
15N0192	0.369	0.005	0.002	0.612	0.012	
08N1182	0.004	0.005	0.951	0.008	0.032	
7039	0.990	0.003	0.001	0.004	0.002	
02N8790	0.799	0.004	0.010	0.037	0.150	
02N8792	0.105	0.002	0.002	0.887	0.004	
02N8801	0.753	0.006	0.004	0.193	0.044	
02N8803	0.727	0.010	0.004	0.248	0.011	
02N8805	0.750	0.003	0.227	0.018	0.002	
02N8807	0.639	0.013	0.003	0.325	0.021	
02N8811	0.685	0.005	0.004	0.299	0.007	
02N8816	0.021	0.005	0.002	0.967	0.006	
02N8827	0.893	0.003	0.003	0.096	0.005	
02N8829	0.468	0.004	0.004	0.518	0.007	
08N23341	0.423	0.006	0.011	0.540	0.020	
05N8693	0.002	0.008	0.984	0.003	0.003	
06N0762	0.015	0.006	0.916	0.020	0.043	
06N1404	0.002	0.004	0.984	0.004	0.007	
06N1475	0.026	0.019	0.877	0.022	0.057	
07N1314	0.002	0.007	0.985	0.003	0.003	
08N1304	0.003	0.068	0.919	0.005	0.005	
08N1379	0.003	0.002	0.981	0.004	0.011	
08N1663	0.002	0.002	0.990	0.003	0.003	
08N1665	0.005	0.024	0.961	0.005	0.006	
00N5479	0.989	0.003	0.001	0.004	0.002	
00N5480	0.905	0.010	0.010	0.068	0.007	
00N5481	0.986	0.004	0.001	0.007	0.002	
00N5482	0.989	0.003	0.001	0.006	0.002	
00N5483	0.984	0.002	0.002	0.010	0.003	
00N5484	0.987	0.002	0.001	0.008	0.002	
00N5485	0.780	0.010	0.201	0.008	0.002	
00N5486	0.947	0.003	0.002	0.046	0.002	
08N22058	0.931	0.017	0.003	0.037	0.012	
10N16953	0.970	0.014	0.002	0.010	0.003	
10N16968	0.989	0.002	0.001	0.006	0.002	
96N0277	0.004	0.006	0.937	0.013	0.041	
96N0278	0.002	0.002	0.988	0.003	0.005	
96N0279	0.059	0.034	0.805	0.089	0.013	
96N0280	0.003	0.002	0.754	0.006	0.235	
96N0281	0.006	0.069	0.898	0.015	0.012	
96N0282	0.004	0.005	0.626	0.012	0.353	
96N0283	0.007	0.093	0.884	0.013	0.003	
96N0284	0.020	0.051	0.720	0.168	0.041	
96N0285	0.012	0.057	0.767	0.066	0.098	
96N0291	0.001	0.002	0.991	0.002	0.004	
96N0299	0.004	0.009	0.656	0.017	0.313	
96N0300	0.007	0.021	0.793	0.013	0.166	
01N4476	0.025	0.037	0.008	0.911	0.018	
01N4477	0.020	0.012	0.085	0.723	0.160	
02N1415	0.016	0.015	0.005	0.957	0.006	
02N1416	0.042	0.004	0.004	0.929	0.020	
02N1417	0.031	0.026	0.006	0.888	0.049	
02N1418	0.083	0.005	0.004	0.904	0.004	
02N1419	0.020	0.002	0.003	0.965	0.010	
02N1420	0.001	0.995	0.001	0.001	0.001	
02N1421	0.497	0.020	0.284	0.193	0.007	
02N1422	0.032	0.312	0.006	0.636	0.014	
97N6629	0.059	0.005	0.007	0.920	0.009	
97N6628	0.575	0.005	0.003	0.409	0.008	
06N35383	0.002	0.007	0.588	0.003	0.400	
09N17890	0.001	0.002	0.991	0.002	0.004	
09N18315	0.002	0.002	0.984	0.004	0.008	
10N16477	0.001	0.002	0.992	0.001	0.004	
10N16478	0.001	0.003	0.986	0.002	0.008	
02N1139	0.005	0.003	0.965	0.008	0.018	
02N1140	0.005	0.004	0.972	0.010	0.009	
03N4284	0.005	0.011	0.965	0.006	0.013	
03N6131	0.018	0.004	0.964	0.007	0.007	
03N6132	0.002	0.004	0.735	0.004	0.255	
04N7586	0.002	0.026	0.966	0.002	0.003	
04N7587	0.001	0.002	0.989	0.002	0.006	
04N7588	0.001	0.002	0.987	0.002	0.008	
05N5632	0.012	0.002	0.960	0.010	0.016	
09N17508	0.001	0.002	0.991	0.001	0.005	
97N6283	0.003	0.006	0.623	0.005	0.364	
97N6284	0.001	0.002	0.601	0.003	0.393	
07N28554	0.028	0.003	0.002	0.964	0.003	
07N28571	0.687	0.082	0.062	0.151	0.018	
07N28591	0.039	0.003	0.011	0.816	0.131	
07N28640	0.077	0.016	0.011	0.737	0.159	
07N28922	0.764	0.023	0.183	0.026	0.004	
08N21408	0.087	0.008	0.003	0.886	0.016	
08N21409	0.015	0.010	0.008	0.940	0.027	
08N21430	0.114	0.070	0.200	0.610	0.006	
