05N5315	0.989	0.005	0.006	
03N0775.	0.617	0.036	0.347	
03N0776	0.917	0.024	0.059	
03N0777	0.830	0.005	0.165	
03N0778	0.840	0.099	0.061	
03N0782	0.919	0.074	0.007	
03N0798	0.657	0.125	0.217	
03N6168	0.612	0.008	0.380	
03N6169	0.984	0.009	0.007	
03N6176	0.933	0.048	0.019	
03N6177	0.982	0.008	0.010	
03N6178	0.634	0.006	0.360	
97N6797	0.941	0.030	0.029	
97N6798	0.970	0.003	0.027	
97N6799	0.893	0.021	0.086	
97N6800	0.876	0.072	0.052	
97N6801	0.591	0.008	0.401	
97N5259	0.006	0.973	0.020	
97N5262	0.031	0.888	0.082	
97N5267	0.006	0.969	0.025	
97N5268	0.005	0.979	0.016	
97N5269	0.007	0.986	0.007	
99N0688	0.004	0.988	0.008	
00N5322	0.004	0.989	0.007	
99N1162	0.004	0.986	0.010	
06N4619	0.004	0.987	0.009	
06N4628	0.004	0.991	0.005	
06N4633	0.023	0.958	0.019	
06N4634	0.003	0.991	0.006	
06N4635	0.013	0.903	0.084	
99N1157	0.003	0.992	0.005	
99N1159	0.003	0.992	0.005	
99N1160	0.003	0.992	0.005	
99N1161	0.016	0.957	0.027	
14N0241	0.032	0.954	0.014	
14N0242	0.003	0.992	0.005	
14N0282	0.029	0.937	0.034	
14N0283	0.060	0.924	0.016	
14N0284	0.009	0.854	0.138	
14N0285	0.008	0.943	0.050	
14N0286	0.005	0.983	0.012	
15N0132	0.010	0.962	0.027	
15N0192	0.010	0.901	0.089	
08N1182	0.910	0.007	0.083	
7039	0.002	0.994	0.003	
02N8790	0.015	0.839	0.146	
02N8792	0.010	0.936	0.054	
02N8801	0.008	0.937	0.055	
02N8803	0.006	0.976	0.017	
02N8805	0.217	0.779	0.004	
02N8807	0.007	0.961	0.032	
02N8811	0.007	0.974	0.019	
02N8816	0.008	0.768	0.224	
02N8827	0.004	0.988	0.008	
02N8829	0.013	0.947	0.041	
08N23341	0.025	0.901	0.074	
05N8693	0.988	0.005	0.008	
06N0762	0.916	0.024	0.060	
06N1404	0.964	0.005	0.031	
06N1475	0.886	0.033	0.081	
07N1314	0.991	0.003	0.006	
08N1304	0.984	0.008	0.008	
08N1379	0.973	0.005	0.022	
08N1663	0.990	0.004	0.007	
08N1665	0.976	0.009	0.015	
00N5479	0.002	0.995	0.003	
00N5480	0.013	0.969	0.018	
00N5481	0.003	0.994	0.003	
00N5482	0.002	0.995	0.003	
00N5483	0.003	0.992	0.005	
00N5484	0.002	0.995	0.003	
00N5485	0.199	0.797	0.004	
00N5486	0.003	0.992	0.005	
08N22058	0.004	0.986	0.010	
10N16953	0.003	0.993	0.004	
10N16968	0.002	0.994	0.004	
96N0277	0.893	0.007	0.100	
96N0278	0.987	0.005	0.008	
